step,id,x,y,z
44,6,4.62383e+08,7.16948e+07,1.66735e+09
44,7,1.15627e+09,2.78173e+09,5.41816e+08
44,8,1.42581e+09,7.74521e+08,2.92498e+09
44,9,4.86656e+08,1.99703e+09,2.2823e+09
45,0,4.93844e+08,2.96769e+09,1.32619e+08
45,1,1.61723e+09,1.85817e+08,1.89805e+09
45,2,2.51404e+09,2.6986e+09,1.27684e+09
45,3,2.78075e+09,1.04033e+09,7.72727e+08
45,4,2.36433e+09,2.09489e+09,1.66012e+09
45,5,4.49986e+08,1.74567e+09,1.71822e+09
45,6,4.62914e+08,7.22255e+07,1.66754e+09
45,7,1.1559e+09,2.78153e+09,5.41921e+08
45,8,1.42568e+09,7.74666e+08,2.92425e+09
45,9,4.87013e+08,1.99644e+09,2.28135e+09
46,0,4.94478e+08,2.96731e+09,1.33228e+08
46,1,1.61681e+09,1.86443e+08,1.8982e+09
46,2,2.51348e+09,2.69771e+09,1.27717e+09
46,3,2.78029e+09,1.04065e+09,7.73114e+08
46,4,2.36406e+09,2.09528e+09,1.65955e+09
46,5,4.50534e+08,1.74602e+09,1.71932e+09
46,6,4.63457e+08,7.27679e+07,1.66773e+09
46,7,1.15552e+09,2.78132e+09,5.42028e+08
46,8,1.42556e+09,7.74814e+08,2.92351e+09
46,9,4.87378e+08,1.99583e+09,2.28038e+09
47,0,4.95126e+08,2.96692e+09,1.33851e+08
47,1,1.61638e+09,1.87083e+08,1.89836e+09
47,2,2.51291e+09,2.6968e+09,1.27751e+09
47,3,2.77982e+09,1.04097e+09,7.73509e+08
47,4,2.36379e+09,2.09567e+09,1.65896e+09
47,5,4.51094e+08,1.74639e+09,1.72044e+09
47,6,4.64011e+08,7.33221e+07,1.66792e+09
47,7,1.15513e+09,2.78111e+09,5.42138e+08
47,8,1.42543e+09,7.74964e+08,2.92275e+09
47,9,4.87751e+08,1.99521e+09,2.27938e+09
48,0,4.95788e+08,2.96652e+09,1.34487e+08
48,1,1.61594e+09,1.87735e+08,1.89852e+09
48,2,2.51233e+09,2.69587e+09,1.27785e+09
48,3,2.77934e+09,1.04129e+09,7.73913e+08
48,4,2.36351e+09,2.09607e+09,1.65837e+09
48,5,4.51666e+08,1.74676e+09,1.72159e+09
48,6,4.64577e+08,7.3888e+07,1.66812e+09
48,7,1.15474e+09,2.78089e+09,5.42249e+08
48,8,1.42531e+09,7.75118e+08,2.92198e+09
48,9,4.88132e+08,1.99457e+09,2.27836e+09
49,0,4.96464e+08,2.96611e+09,1.35136e+08
49,1,1.61549e+09,1.88402e+08,1.89868e+09
49,2,2.51174e+09,2.69491e+09,1.2782e+09
49,3,2.77885e+09,1.04163e+09,7.74325e+08
49,4,2.36322e+09,2.09649e+09,1.65776e+09
49,5,4.52251e+08,1.74714e+09,1.72277e+09
49,6,4.65155e+08,7.44657e+07,1.66832e+09
49,7,1.15434e+09,2.78067e+09,5.42362e+08
